Title,Score,ProgressChapter,ProgressVolumes,Type
Hoshino, Me wo Tsubutte.,0,106,13,MANGA
Gakuen Alice,0,180,30,MANGA
Ojojojo,0,64,4,MANGA
Machida-kun no Sekai,0,28,7,MANGA
High Score Girl,0,63,10,MANGA
Yandere Kanojo,0,75,17,MANGA
Himouto! Umaru-chan,0,229,12,MANGA
Koroshiya 1,0,114,10,MANGA
Karin,0,58,14,MANGA
Isshuukan Friends.,0,41,7,MANGA
Toradora!,0,62,10,NOVEL
Nickelodeon,0,39,3,MANGA
Kodomo no Jikan,0,93,13,MANGA
Durarara!!,0,89,13,NOVEL
Black Bird,0,84,18,MANGA
Umineko no Naku Koro ni Episode 1: Legend of the Golden Witch,0,23,4,MANGA
BURN THE WITCH,0,1,0,ONE_SHOT
Green Blood,0,49,5,MANGA
Kyou, Koi wo Hajimemasu,0,99,15,MANGA
Netsuzou Trap,0,26,6,MANGA
Fujimura-kun Mates,0,97,8,MANGA
Hachimitsu to Clover,0,64,10,MANGA
Shugo Chara!,0,55,12,MANGA
Dance in the Vampire Bund,0,82,14,MANGA
Paradise Kiss,0,48,5,MANGA
Sengoku Youko,0,100,17,MANGA
Hikari no Machi,0,9,1,MANGA
Arachnid,0,73,14,MANGA
Alive: Saishuu Shinkateki Shounen,0,83,21,MANGA
Umibe no Étranger,0,4,1,MANGA
Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine,0,35,10,MANGA
Ningen Shikkaku,0,12,3,MANGA
Himegoto: Juukyuusai no Seifuku,0,100,8,MANGA
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,0,25,5,NOVEL
Sword Art Online: Progressive,0,47,7,MANGA
Tegami Bachi,0,100,20,MANGA
Kangoku Jikken,0,80,10,MANGA
Mangaka-san to Assistant-san to,0,160,10,MANGA
Boku no Kanojo ga Majime Sugiru Shoujo Bitch na Ken,0,87,8,MANGA
Takane to Hana,0,0,0,MANGA
Binbougami ga!,0,82,16,MANGA
Taishou Otome Otogibanashi,0,42,5,MANGA
Origin,0,87,10,MANGA
Daiya no A,0,418,47,MANGA
Kanata no Astra,0,49,5,MANGA
High School DxD,0,78,11,MANGA
Nozo x Kimi,0,63,8,MANGA
Rikudou,0,240,23,MANGA
Urami Koi, Koi, Urami Koi.,0,62,12,MANGA
Tenjou Tenge,0,136,22,MANGA
Special A,0,104,17,MANGA
Aki-Sora,0,30,6,MANGA
Kuro,0,210,3,MANGA
School Rumble,0,345,22,MANGA
Dame na Watashi ni Koishite Kudasai,0,43,10,MANGA
Aoi Hana,0,52,8,MANGA
Hoshi no Koe,0,10,1,MANGA
Wolf Guy: Ookami no Monshou,0,117,12,MANGA
Gunslinger Girl,0,100,15,MANGA
Jigokusei Remina,0,7,1,MANGA
Koisome Momiji,0,33,4,MANGA
Kyou no Cerberus,0,57,12,MANGA
Higurashi no Naku Koro ni Onikakushi-hen,0,7,2,MANGA
Mahouka Koukou no Rettousei,0,22,4,MANGA
Full Moon wo Sagashite,0,42,7,MANGA
Koko ni Iru yo!,0,21,5,MANGA
Hidamari ga Kikoeru,0,6,1,MANGA
Yesterday wo Utatte,0,113,11,MANGA
Hana nomi zo Shiru,0,12,3,MANGA
Steins;Gate,0,23,3,MANGA
Hozuki-san Chi no Aneki,0,32,4,MANGA
Opus,0,19,2,MANGA
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,0,7,1,NOVEL
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,0,48,4,MANGA
Shigurui,0,84,15,MANGA
Tokyo ESP,0,77,16,MANGA
Rainbow: Nisha Rokubou no Shichinin,0,235,22,MANGA
Cat Street,0,37,8,MANGA
Shishunki Bitter Change,0,64,9,MANGA
Donten ni Warau,0,29,6,MANGA
Pupa,0,34,5,MANGA
Jigokuren: Love in the Hell,0,18,3,MANGA
Black Paradox,0,8,1,MANGA
Gun x Clover,0,60,12,MANGA
Fujiyama-san wa Shishunki,0,67,8,MANGA
Abara,0,13,2,MANGA
Freesia,0,84,12,MANGA
Zetsuen no Tempest,0,50,10,MANGA
Osananajimi ni Najimitai,0,24,3,MANGA
Itoshi no Karin,0,20,3,MANGA
Kuroko no Basket: Extra Game,0,9,2,MANGA
1/2 Prince,0,82,16,MANGA
Dragon Head,0,89,10,MANGA
Dolly Kill Kill,0,155,11,MANGA
7SEEDS,0,178,35,MANGA
GUNNM: Last Order,0,124,19,MANGA
Cheese in the Trap Season 1,0,47,6,MANGA
Yoohog-ui Gisul,0,36,7,MANGA
Suki x Suki,0,23,2,MANGA
Chio-chan no Tsuugakuro,0,53,9,MANGA
Adolf ni Tsugu,0,36,5,MANGA
Black Jack,0,243,17,MANGA
Violet Evergarden,0,13,2,NOVEL
Area D: Inou Ryouiki,0,137,14,MANGA
RWBY,0,15,1,MANGA
Reiraku,0,8,1,MANGA
FLCL,0,15,2,MANGA
Litchi☆Hikari Club,0,9,1,MANGA
Chrno Crusade,0,59,8,MANGA
Kiss Yori mo Hayaku,0,58,12,MANGA
Tajuu Jinkaku Tantei Psycho,0,155,24,MANGA
Fukushuu Kyoushitsu,0,25,7,MANGA
Ganbare! Nakamura-kun!!,0,11,1,MANGA
Soul Eater Not!,0,41,5,MANGA
07-Ghost,0,100,17,MANGA
Monogatari Series: Second Season,0,198,6,NOVEL
Umi no Misaki,0,127,15,MANGA
Haruka na Machi e,0,16,2,MANGA
K-On! College,0,14,1,MANGA
Nodame Cantabile,0,146,25,MANGA
Futari no Renai Shoka,0,14,2,MANGA
Haji-Otsu.,0,32,5,MANGA
Fragtime,0,18,2,MANGA
Kaguya-sama wa Kokurasetai: Doujin-ban,0,35,4,MANGA
Jisatsu Circle,0,6,1,MANGA
Crows,0,98,26,MANGA
Death Note (Pilot),0,1,0,ONE_SHOT
Initial D,0,719,48,MANGA
Itou Junji no Neko Nikki: Yon & Mu,0,10,1,MANGA
Omoi, Omoware, Furi, Furare,0,48,12,MANGA
Keijo!!!!!!!! Hip Whip Girl,0,177,18,MANGA
Kyou no Yuiko-San,0,48,5,MANGA
Durarara!!,0,22,4,MANGA
Haru Matsu Bokura,0,56,13,MANGA
Tetsugaku Letra,0,27,6,MANGA
B Gata H Kei,0,315,9,MANGA
Prince of Tennis,0,382,42,MANGA
Octave,0,36,6,MANGA
Hitori Koukan Nikki,0,27,2,MANGA
Hapi Mari: Happy Marriage!?,0,46,10,MANGA
Serial Experiments Lain: The Nightmare of Fabrication,0,1,0,ONE_SHOT
Arakawa Under the Bridge,0,410,15,MANGA
Soredemo Sekai wa Utsukushii,0,0,25,MANGA
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Hon ga Nai nara Tsukureba Ii!,0,33,7,MANGA
Big Order,0,55,10,MANGA
Kanojo wa Rokurokubi,0,22,4,MANGA
NOiSE,0,8,1,MANGA
Konbini-kun.,0,6,1,MANGA
Kyou no Kira-kun,0,38,9,MANGA
Immortal Regis,0,44,6,MANGA
Murasakiiro no Qualia,0,21,3,MANGA
Cross Game,0,170,17,MANGA
Majin Tantei Nougami Neuro,0,203,23,MANGA
Mahou Shoujo Madoka★Magica: The Different Story,0,12,3,MANGA
Trigun Maximum,0,102,14,MANGA
Hotarubi no Mori e,0,4,1,MANGA
Kumanishi Bijutsubu Rough Sketch-senpai,0,25,2,MANGA
Inari, Konkon, Koi Iroha.,0,53,10,MANGA
Nabari no Ou,0,72,14,MANGA
Aizawa-san Zoushoku,0,39,5,MANGA
Mujaki no Rakuen,0,86,12,MANGA
Ikigami,0,60,10,MANGA
Shinmai Maou no Testament,0,46,9,MANGA
Shoujo Fujuubun,0,27,3,MANGA
Bokura no Hentai,0,41,10,MANGA
Boji Motago Deutji Motago Saranghae,0,83,6,MANGA
Ookami Kodomo no Ame to Yuki,0,16,3,MANGA
Tora Kiss: A School Odyssey,0,24,4,MANGA
Are You Alice?,0,77,12,MANGA
Fuan no Tane,0,72,3,MANGA
Kyou Kara Ore Wa!!,0,366,38,MANGA
Petshop of Horrors,0,41,10,MANGA
Shinigami-sama to 4-nin no Kanojo,0,19,3,MANGA
Sekai Oni,0,110,11,MANGA
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,0,31,5,MANGA
Ore to Akuma no Blues,0,0,5,MANGA
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite,0,22,4,MANGA
Kamisama no Iutoori Ni,0,186,21,MANGA
Giganto Machia,0,7,1,MANGA
Ping Pong,0,55,5,MANGA
Karate Shoukoushi Kohinata Minoru,0,500,50,MANGA
Yokokuhan,0,22,3,MANGA
Grappler Baki,0,371,42,MANGA
Sore wa Totsuzen, Unmei no Aite ga,0,23,4,MANGA
Handa-kun,0,34,7,MANGA
Devils' Line,0,79,14,MANGA
Hinomaru-Zumou,0,250,28,MANGA
Hunter x Hunter: Kurapika Tsuioku-hen,0,2,1,MANGA
Mirai Nikki: Paradox,0,5,1,MANGA
Hentai Ouji to Warawanai Neko.,0,50,8,MANGA
Omaera Zenin Mendokusai!,0,56,10,MANGA
Saeki-san wa Nemutteru,0,49,5,MANGA
Doushitemo Furetakunai,0,9,1,MANGA
Nisekyuu!!,0,1,0,ONE_SHOT
Kingdom Hearts,0,43,4,MANGA
Dimension W,0,116,16,MANGA
Uratarou,0,50,6,MANGA
Ashigei Shoujo Komura-san,0,58,4,MANGA
Kobato.,0,40,6,MANGA
Maoyuu Maou Yuusha: 'Kono Watashi no Mono Tonare, Yuusha yo' 'Kotowaru!',0,59,18,MANGA
Shiki,0,42,11,MANGA
Tokyo Ghoul (One Shot),0,1,0,ONE_SHOT
Evergreen,0,25,4,MANGA
Akuma to Love Song,0,94,13,MANGA
Itoshi no Kana,0,24,3,MANGA
Hyouryuu Kyoushitsu,0,44,11,MANGA
Rookies,0,233,24,MANGA
Deathtopia,0,66,8,MANGA
Angel Beats! Heaven's Door,0,77,11,MANGA
Uwa-Koi,0,36,6,MANGA
Maken-Ki!,0,124,24,MANGA
Zettai Kareshi,0,35,6,MANGA
Midori no Hibi,0,86,8,MANGA
Ma no Kakera,0,8,1,MANGA
Araburu Kisetsu no Otomedomo yo.,0,33,8,MANGA
